QhEILDPIGgpPPPggiIHPPDDEIIG n=18 m=54 bipUB=0 ratio=0/324 0.000000000
QhEIHCPaIGcPCPaGgaHCPCPEGaG n=18 m=45 bipUB=0 ratio=0/324 0.000000000
QhCGKD@gI_t@T@I_agGT@@SEAgG n=18 m=45 bipUB=0 ratio=0/324 0.000000000
QUWosXEGobPEPEGbAGsPEpCXaGo n=18 m=54 bipUB=10 ratio=10/324 0.030864198
QUWooWE_qBCECEAB?_sCEoOX__o n=18 m=45 bipUB=6 ratio=6/324 0.018518519
QQIQPGQaQHCQCQaHGaPCQcPHGaO n=18 m=45 bipUB=6 ratio=6/324 0.018518519
QCrb`o[B_M?[?[_MWBf?[[@owB_ n=18 m=54 bipUB=10 ratio=10/324 0.030864198
QCp`_oK`aECKCKAEO`eCKWOoo`_ n=18 m=45 bipUB=6 ratio=6/324 0.018518519
QCQadPSI_iPSPSgiIIdPSTDOiI_ n=18 m=54 bipUB=0 ratio=0/324 0.000000000
QCQa`OSaaICSCSaIGadCSSPOga_ n=18 m=45 bipUB=0 ratio=0/324 0.000000000
QCO_cPCgaaTCTCIaAgcTCPSOag_ n=18 m=45 bipUB=0 ratio=0/324 0.000000000
QCO__QCofAMCMCFA@ocMCOwO`o_ n=18 m=45 bipUB=6 ratio=6/324 0.018518519
Q?AAD@OiAgTOTOigIi@TODT?Ii? n=18 m=45 bipUB=0 ratio=0/324 0.000000000
Q???CB?wF_^?^?N_Bw?^?@{?Bw? n=18 m=45 bipUB=6 ratio=6/324 0.018518519
QlUihSTaiIcTCTaIgalCTSPUgag n=18 m=63 bipUB=0 ratio=0/324 0.000000000
QlSgkTDgiatDTDIaagkTDPSUagg n=18 m=63 bipUB=0 ratio=0/324 0.000000000
QhEILDPiIgtPTPigiiHTPDTEIiG n=18 m=63 bipUB=0 ratio=0/324 0.000000000
QCQadPSiaiTSTSiiIidTSTTOii_ n=18 m=63 bipUB=0 ratio=0/324 0.000000000
RlSggSD?gA_D?D?A_?g?D_?T??l??g n=19 m=38 bipUB=4 ratio=4/361 0.011080332
RhdHGcH@GC_H?H?C_@K?HO?c_@K_@G n=19 m=38 bipUB=6 ratio=6/361 0.016620499
RhEIHCPAGG_P?P?GoAI?PG@COAKOAG n=19 m=38 bipUB=6 ratio=6/361 0.016620499
RhCKIC`CGO_`?`_OgCH?`CACGCKGCG n=19 m=38 bipUB=4 ratio=4/361 0.011080332
RhCGKD@GG_`@`@O_cGG`@ACCCGKCGG n=19 m=38 bipUB=8 ratio=8/361 0.022160665
RhCGGE@OH?q@Q@H?aOGQ@@GCAOKAOG n=19 m=38 bipUB=8 ratio=8/361 0.022160665
RUWooWE?oB?E?E?B??o?E_?Z??r??o n=19 m=38 bipUB=8 ratio=8/361 0.022160665
RQIQPGQAOH?Q?Q?HOAQ?QG@IOAQOAO n=19 m=38 bipUB=8 ratio=8/361 0.022160665
RQGSQGaCOP?a?a_PGCP?aCAIGCQGCO n=19 m=38 bipUB=4 ratio=4/361 0.011080332
RQGOSHAGO`@A`AO`CGO`AACICGQCGO n=19 m=38 bipUB=4 ratio=4/361 0.011080332
