WhdHKdHhIcdHdHQcchKdHQSechIchHQSeSdHQchHIQcqSdH n=24 m=108 bip=18 ratio=18/576 0.031250000
WCrb`o[B_MO[o[wMMB`o[F@oMB_MBcF@r@o[wMBb_wMF@o[ n=24 m=108 bip=18 ratio=18/576 0.031250000
XhdLIchdISchChAS_dGCh_Qd?dH?dK_QdGChh?dIcASdGChdGCh n=25 m=100 bip=20 ratio=20/625 0.032000000
XhdLIchDGSohOhGSqDIOhHAcQDGQDKHAdAOhgQDI`GSdAOhdAOh n=25 m=100 bip=20 ratio=20/625 0.032000000
XhdHGcH`ICsHSHICq`ISHhOdQ`HQ`GhOcISH`Q`IDICcISHcISH n=25 m=100 bip=20 ratio=20/625 0.032000000
XhCKIC`cIOs`S`IOqcIS`hQDQcHQcKhQDIS`HQcGdIO`IS``IS` n=25 m=100 bip=20 ratio=20/625 0.032000000
XUWosZEWpbBEBE@b?WoBE?KY?Wu?Wr?KWoBEE?WsW@bWoBEWoBE n=25 m=100 bip=20 ratio=20/625 0.032000000
XUWosXEGob@E`EobKGp`EECWKGsKGqECW``ECKGsOobW``EW``E n=25 m=100 bip=20 ratio=20/625 0.032000000
XUWooYEOpBAEaEpBKOpaEEGYKOqKOpEGWPaEAKOsGpBWPaEWPaE n=25 m=100 bip=20 ratio=20/625 0.032000000
XQGOSJAWP`BAbAp`KWPbAEKIKWUKWREKGpbAEKWOWp`OpbAOpbA n=25 m=100 bip=20 ratio=20/625 0.032000000
XCO_cRCW`aBCbCpaKW`bCEKQKWeKWbEKOpbCEKWcWpaGpbCGpbC n=25 m=100 bip=20 ratio=20/625 0.032000000
X?`DA_gdASSgSgISQdASghQ`Qd@QdChQ`ISghQdAdISDISgDISg n=25 m=100 bip=20 ratio=20/625 0.032000000
XhdLIchdISshShISqdIShhQdQdHQdKhQdIShhQdIdISdIShdISh n=25 m=125 bip=25 ratio=25/625 0.040000000
XUWosZEWpbBEbEpbKWpbEEKYKWuKWrEKWpbEEKWsWpbWpbEWpbE n=25 m=125 bip=25 ratio=25/625 0.040000000
YlUihSTAgI_T_TOIsAi_TI@SSAgSAgI@SA_T_SAi@OIsA_TSA_Ti@OI_ n=26 m=104 bip=20 ratio=20/676 0.029585799
YlSggUDOhAaDaDPAsOiaDIGSSOkSOiIGSaaDCSOgPPAoaaDOaaDgPPA_ n=26 m=104 bip=20 ratio=20/676 0.029585799
YlSggUDOhAaDAD`AgOhADCGSGOkGOiCGS`ADCGOgO`Ao`ADO`ADgO`A_ n=26 m=91 bip=22 ratio=22/676 0.032544379
YhdLIchdISchChAS_dGCh?Qe?dI?dH?QeOChQ?dLGASiOChIOChdGAS_ n=26 m=104 bip=20 ratio=20/676 0.029585799
YhdHKdHhIcdHDHAc_hGDH?Se?hI?hL?SdODHI?hKgAchODHHODHcgAc_ n=26 m=104 bip=20 ratio=20/676 0.029585799
YhdHKdHHKchHHHCc`HGHH_cd@HH@HK_cdGHHH@HKcCchGHHHGHHccCc_ n=26 m=104 bip=20 ratio=20/676 0.029585799
YhEIHEPQHGqPQPHGaQKQPPHCaQKaQIPHCcQPcaQIQHGccQPCcQPaQHG_ n=26 m=104 bip=20 ratio=20/676 0.029585799
YhEIHEPQHGaPaPPGsQIaPIHCSQKSQIIHCaaPcSQIPPGcaaPCaaPaPPG_ n=26 m=104 bip=24 ratio=24/676 0.035502959
YhCKIE`SHOq`Q`HOaSKQ`PICaSKaSIPIEcQ`SaSHQHOacQ`AcQ``QHO_ n=26 m=104 bip=20 ratio=20/676 0.029585799
YhCKIC`cIOc`C`aOgcHC`CQEGcIGcHCQEPC`QGcHGaOaPC`APC``GaO_ n=26 m=91 bip=22 ratio=22/676 0.032544379
YUWosZEWpbBEBE@b?WoBE?KW?Ws?Wu?KX_BEK?Woo@bP_BEp_BEWo@b? n=26 m=104 bip=20 ratio=20/676 0.029585799
YUWosXEGobPEPEGbAGsPEPCWaGoaGsPCXCPEGaGoaGbPCPEpCPEWaGb? n=26 m=104 bip=20 ratio=20/676 0.029585799
YUWooWE_uBKEKEEB@_oKE_oZ@_r@_p_oWWKEB@_oKEBOWKEoWKEWKEB? n=26 m=104 bip=20 ratio=20/676 0.029585799
YUWooWE_qBCECEaBG_pCECOYG_qG_pCOWPCEAG_oGaBOPCEoPCEWGaB? n=26 m=91 bip=22 ratio=22/676 0.032544379
YUWooWE?sBWEWEKBB?sWEp_Xb?pb?op_WKWE@b?oEKBOKWEoKWEWEKB? n=26 m=104 bip=24 ratio=24/676 0.035502959
YQIURGqeQXCqCqAX?eOCq?RI?eQ?eP?RIOCqq?eRGAXEOCqeOCqRGAX? n=26 m=104 bip=20 ratio=20/676 0.029585799
YQGOSHAGS`XAXAK`BGSXApcHbGPbGSpcHKXAHbGOeK`@KXA`KXAOeK`? n=26 m=104 bip=20 ratio=20/676 0.029585799
YCrb`o[B_M?[_[OMSBa_[I@oSB_SB_I@oA_[_SBe@OM[A_[[A_[M@OM? n=26 m=104 bip=20 ratio=20/676 0.029585799
YCO__OC_eA[C[CMAB_c[CpoRb_bb_`poO[[CBb__MMAO[[CO[[CGMMA? n=26 m=104 bip=20 ratio=20/676 0.029585799
Y?bFF`wN?{@w@w?{?N?@w?F_?N??NC?Fb?@ww?NF_?{N?@wN?@wF_?{? n=26 m=104 bip=20 ratio=20/676 0.029585799
Y?bBD`WJ?k@W@W_kGJ@@WCD_GJ?GJCCD`@@WgGJE__kL@@WL@@WE__k? n=26 m=91 bip=22 ratio=22/676 0.032544379
Y?`DE`glAsDgDgAs?l?Dg?Ua?lA?lD?UbODgY?lDgAsJODgJODgDgAs? n=26 m=104 bip=24 ratio=24/676 0.035502959
Y?AEF@omAwDoDoAw?m?Do?VA?mA?mD?VBODoy?mBgAwFODoFODoBgAw? n=26 m=104 bip=20 ratio=20/676 0.029585799
Y?AA@AOQ@GQOqOXGUQEqOZH?uQCuQAZH?eqOcuQARXGCeqOCeqOARXG? n=26 m=104 bip=20 ratio=20/676 0.029585799
Y?AA@?OA?GOOoOwG]AFoO^@?}A?}A?^@?FoO_}AABwGCFoOCFoOABwG? n=26 m=91 bip=22 ratio=22/676 0.032544379
Y???C@?GC_X?X?k_JGDX?tc@jG@jGCtc@LX?HjG?ek_@LX?@LX??ek_? n=26 m=91 bip=22 ratio=22/676 0.032544379
Y??????_E?[?{?]?V_E{?zoBv_Bv_@zo?]{?Bv_?N]??]{??]{??N]?? n=26 m=104 bip=20 ratio=20/676 0.029585799
YhCKIE`SHOq`Q`hOiSLQ`TICiSKiSITIEdQ`SiSHQhOadQ`AdQ``QhO_ n=26 m=117 bip=20 ratio=20/676 0.029585799
YUWosZEWpbBEBE`bGWpBECKWGWsGWuCKX`BEKGWoo`bP`BEp`BEWo`b? n=26 m=117 bip=20 ratio=20/676 0.029585799
YQIURGqeQXCqCqaXGePCqCRIGeQGePCRIPCqqGeRGaXEPCqePCqRGaX? n=26 m=117 bip=20 ratio=20/676 0.029585799
YCrb`o[B_M?[_[oM[Bb_[M@o[B_[B_M@oB_[_[Be@oM[B_[[B_[M@oM? n=26 m=117 bip=20 ratio=20/676 0.029585799
Y??????_E?[?{?}?^_F{?~oB~_B~_@~o?^{?B~_?N}??^{??^{??N}?? n=26 m=117 bip=20 ratio=20/676 0.029585799
ZlSgkTDGgapDPDGaaGgPD`CTAGhAGg`CUGPDPAGhCGaaGPDaGPDPCGasPAGg n=27 m=108 bip=22 ratio=22/729 0.030178326
ZhdHGcH@KCgHgHSCd@KgHQ_ed@Id@HQ_cSgHAd@GISCoSgHOSgHGISCqAd@G n=27 m=108 bip=22 ratio=22/729 0.030178326
ZhEIHEPQHGaPaPPGcQKaPQHCcQGcQKQHDCaPGcQKaPGhCaPHCaPCaPGpGcQG n=27 m=108 bip=22 ratio=22/729 0.030178326
ZUWosZEWpbBEBE@b?WoBE?KW?Wo?Ws?KZ?BEW?Wp_@bB?BEb?BEp_@bKW?Wo n=27 m=108 bip=22 ratio=22/729 0.030178326
ZUWooWE?sBWEWEKBB?oWE`_ZB?rB?p`_WWWEBB?oKKB?WWE_WWEoKKBKBB?o n=27 m=108 bip=22 ratio=22/729 0.030178326
ZQIURGqEOX?q?q_XWER?qKBGWEOWEOKBGB?q_WEU@_XKB?qKB?qe@_XH_WEO n=27 m=108 bip=22 ratio=22/729 0.030178326
