13 9 1 0;11 10 3 0;15 13 11 8;8;26;60;19;5;4
7 3 2 0;17 11 6 0;21 15 9 1;6;18;40;15;3;2
9 3 1 0;16 13 4 0;21 15 9 1;7;22;50;17;4;3
10 2 1 0;19 13 1 0;21 15 9 1;6;18;40;15;3;2
9 6 1 0;16 12 2 0;21 15 9 1;8;26;60;19;5;4
10 4 2 0;19 8 3 0;21 15 9 1;4;10;20;11;1;0
11 4 1 0;16 9 5 0;21 15 9 1;12;42;100;27;9;8
14 2 1 0;16 9 4 0;21 15 9 1;6;18;40;15;3;2
9 8 1 0;16 8 4 0;21 15 9 1;6;18;40;15;3;2
10 5 3 0;14 9 5 0;21 15 9 1;7;22;50;17;4;3
10 6 2 0;14 11 3 0;21 15 9 1;10;34;80;23;7;6
12 5 1 0;19 6 3 0;21 15 9 1;7;22;50;17;4;3
13 5 1 0;14 7 6 0;21 15 9 1;6;18;40;15;3;2
14 3 2 0;15 7 5 0;21 15 9 1;5;14;30;13;2;1
14 4 1 0;12 8 7 0;21 15 9 1;4;10;20;11;1;0
10 9 1 0;19 6 1 0;21 15 9 1;5;14;30;13;2;1
9 7 5 0;15 9 1 0;21 15 9 1;5;14;30;13;2;1
15 6 1 0;11 10 3 0;21 15 9 1;6;18;40;15;3;2
15 6 1 0;15 7 2 0;21 15 9 1;14;50;120;31;11;10
5 2 1 0;17 12 8 1;18 13 10 5;4;10;20;11;1;0
5 3 1 0;17 10 9 1;18 13 10 5;4;10;20;11;1;0
7 2 1 0;15 10 9 2;18 13 10 5;6;18;40;15;3;2
7 3 2 0;16 12 4 2;18 13 10 5;4;10;20;11;1;0
9 2 1 0;17 9 7 1;18 13 10 5;5;14;30;13;2;1
8 4 1 0;15 10 7 1;18 13 10 5;18;78;208;27;27;14
8 4 1 0;17 9 4 3;18 13 10 5;6;18;40;15;3;2
7 4 3 0;14 9 6 3;18 13 10 5;12;45;112;24;12;8
8 4 2 0;13 10 7 2;18 13 10 5;18;80;217;27;30;14
8 4 2 0;14 9 5 4;18 13 10 5;9;30;70;21;6;5
9 4 1 0;13 12 4 3;18 13 10 5;6;18;40;15;3;2
9 4 1 0;16 9 7 0;18 13 10 5;14;56;144;25;17;10
6 5 3 1;13 10 7 1;18 13 10 5;7;22;50;17;4;3
7 4 3 1;15 9 6 1;18 13 10 5;12;45;112;24;12;8
8 4 2 1;15 10 4 2;18 13 10 5;9;33;82;18;9;5
8 6 1 0;16 11 4 0;18 13 10 5;10;37;92;20;10;6
9 3 2 1;13 8 7 3;18 13 10 5;5;14;30;13;2;1
10 4 1 0;13 9 6 3;18 13 10 5;16;65;168;28;20;12
7 5 3 1;13 11 4 2;18 13 10 5;4;10;20;11;1;0
7 5 4 0;17 9 4 0;18 13 10 5;4;10;20;11;1;0
7 6 2 1;14 8 6 2;18 13 10 5;9;32;78;19;8;5
8 5 3 0;14 8 7 1;18 13 10 5;17;72;190;27;24;13
8 5 3 0;15 10 5 0;18 13 10 5;19;80;210;31;26;15
8 7 1 0;12 9 6 3;18 13 10 5;8;27;64;18;6;4
9 4 2 1;16 7 5 2;18 13 10 5;5;14;30;13;2;1
9 4 3 0;11 10 8 1;18 13 10 5;8;27;64;18;6;4
9 5 2 0;14 8 7 1;18 13 10 5;19;82;218;29;28;15
9 6 1 0;14 9 4 3;18 13 10 5;14;54;136;27;15;10
11 3 2 0;13 12 4 1;18 13 10 5;6;18;40;15;3;2
12 3 1 0;12 8 6 4;18 13 10 5;4;10;20;11;1;0
8 5 4 0;15 6 5 3;18 13 10 5;4;10;20;11;1;0
8 6 2 1;13 11 3 2;18 13 10 5;5;14;30;13;2;1
9 4 3 1;14 10 4 1;18 13 10 5;12;45;112;24;12;8
9 6 2 0;17 5 4 3;18 13 10 5;4;10;20;11;1;0
9 7 1 0;17 9 2 1;18 13 10 5;5;14;30;13;2;1
10 4 3 0;12 8 6 3;18 13 10 5;11;41;102;22;11;7
10 6 1 0;14 11 3 1;18 13 10 5;14;56;144;25;17;10
11 5 1 0;12 7 6 4;18 13 10 5;6;18;40;15;3;2
14 2 1 0;13 12 4 0;18 13 10 5;5;14;30;13;2;1
8 7 3 0;13 9 5 1;18 13 10 5;19;84;226;27;30;15
9 6 3 0;13 10 5 0;18 13 10 5;28;136;382;33;57;24
12 5 1 0;14 7 4 3;18 13 10 5;8;27;64;18;6;4
8 6 3 2;14 7 5 1;18 13 10 5;10;37;92;20;10;6
8 6 4 1;15 7 3 2;18 13 10 5;4;10;20;11;1;0
9 8 2 0;10 8 6 3;18 13 10 5;4;10;20;11;1;0
11 6 2 0;13 7 5 2;18 13 10 5;23;105;287;32;40;19
12 4 2 1;11 9 7 0;18 13 10 5;11;41;102;22;11;7
9 6 3 2;15 7 3 1;18 13 10 5;7;22;50;17;4;3
9 7 4 0;15 7 3 1;18 13 10 5;16;65;168;28;20;12
