C20(5,9) n=20 e=40 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(6,9) n=20 e=40 beta=8 Rbest=40 C5=40 tr5mod10=0 propA=OK
C20(7,8) n=20 e=40 beta=8 Rbest=24 C5=24 tr5mod10=0 propA=OK
C20(7,9) n=20 e=40 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(8,9) n=20 e=40 beta=6 Rbest=4 C5=4 tr5mod10=0 propA=OK
C20(1,3,5) n=20 e=60 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(1,3,7) n=20 e=60 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(1,3,8) n=20 e=60 beta=12 Rbest=296 C5=304 tr5mod10=0 propA=OK
C20(1,3,9) n=20 e=60 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(1,3,10) n=20 e=50 beta=8 Rbest=80 C5=80 tr5mod10=0 propA=OK
C20(1,4,6) n=20 e=60 beta=12 Rbest=244 C5=244 tr5mod10=0 propA=OK
C20(1,4,7) n=20 e=60 beta=12 Rbest=296 C5=304 tr5mod10=0 propA=OK
C20(1,4,9) n=20 e=60 beta=12 Rbest=244 C5=244 tr5mod10=0 propA=OK
C20(1,4,10) n=20 e=50 beta=10 Rbest=144 C5=144 tr5mod10=0 propA=OK
C20(1,5,7) n=20 e=60 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(1,5,8) n=20 e=60 beta=12 Rbest=396 C5=404 tr5mod10=0 propA=OK
C20(1,5,9) n=20 e=60 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(1,6,9) n=20 e=60 beta=12 Rbest=240 C5=240 tr5mod10=0 propA=OK
C20(1,6,10) n=20 e=50 beta=10 Rbest=160 C5=160 tr5mod10=0 propA=OK
C20(1,7,9) n=20 e=60 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(1,7,10) n=20 e=50 beta=8 Rbest=80 C5=80 tr5mod10=0 propA=OK
C20(1,8,10) n=20 e=50 beta=6 Rbest=4 C5=4 tr5mod10=0 propA=OK
C20(2,3,7) n=20 e=60 beta=12 Rbest=240 C5=240 tr5mod10=0 propA=OK
C20(2,3,8) n=20 e=60 beta=12 Rbest=244 C5=244 tr5mod10=0 propA=OK
C20(2,3,10) n=20 e=50 beta=10 Rbest=160 C5=160 tr5mod10=0 propA=OK
C20(2,5,6) n=20 e=60 beta=10 Rbest=480 C5=480 tr5mod10=0 propA=OK
C20(2,5,8) n=20 e=60 beta=8 Rbest=64 C5=64 tr5mod10=0 propA=OK
C20(2,6,10) n=20 e=50 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(2,7,8) n=20 e=60 beta=12 Rbest=244 C5=244 tr5mod10=0 propA=OK
C20(2,7,10) n=20 e=50 beta=10 Rbest=160 C5=160 tr5mod10=0 propA=OK
C20(3,4,5) n=20 e=60 beta=12 Rbest=396 C5=404 tr5mod10=0 propA=OK
C20(3,4,9) n=20 e=60 beta=12 Rbest=296 C5=304 tr5mod10=0 propA=OK
C20(3,4,10) n=20 e=50 beta=6 Rbest=4 C5=4 tr5mod10=0 propA=OK
C20(3,5,7) n=20 e=60 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(3,5,9) n=20 e=60 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(3,7,8) n=20 e=60 beta=12 Rbest=244 C5=244 tr5mod10=0 propA=OK
C20(3,7,9) n=20 e=60 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
