d	r	c	M	maxR_num	maxR_den	argk	hstar	lam	mu	nu	src
6	5	44	212	248	567	1	1,37,124,50,0,0,0	21,15,9,6,3	13,10,7,4,1	33,24,14,11,7	purged_region\pop_profile.jsonl
6	5	56	306	344	721	1	1,49,172,84,0,0,0	16,10,7,4,1	17,13,10,4,1	32,21,17,8,5	purged_region\pop_profile.jsonl
6	5	8	2	0	1	1	1,1,0,0,0,0,0	15,12,9,4,1	15,12,7,4,1	29,24,16,8,3	purged_region\pop_profile.jsonl
3	5	12	14	5	27	1	1,8,5,0	13,7,5,2,2	25,8,5	36,14,11,4,2	purged_region\pop_profile.jsonl
5	5	15	20	27	247	1	1,9,9,1,0,0	18,9,4,3,1	12,9,2	27,19,6,4,2	purged_region\pop_profile.jsonl
6	6	9	3	0	1	1	1,2,0,0,0,0,0	16,5,5,2,2,1	13,6,2,1,1	28,9,6,6,3,2	purged_region\pop_profile.jsonl
4	6	14	16	3	26	1	1,9,6,0,0	9,5,2,2,2,1	21,15,4	27,20,7,3,2,2	purged_region\pop_profile.jsonl
5	6	54	277	69	121	1	1,48,161,67,0,0	16,13,10,7,4,1	17,9,2	30,19,14,7,5,4	purged_region\pop_profile.jsonl
6	6	13	21	20	211	1	1,6,10,4,0,0,0	6,3,3,2,1,1	9,8,5,1	13,10,8,3,3,2	purged_region\pop_profile.jsonl
5	5	11	13	18	199	1	1,5,6,1,0,0	8,8,7,6,1	12,8,3,2	19,14,10,9,3	purged_region\pop_profile.jsonl
5	5	12	16	24	211	1	1,6,8,1,0,0	17,5,4,3,1	18,4,2,1,1	33,8,7,5,3	purged_region\pop_profile.jsonl
6	5	18	32	17	130	1	1,11,17,3,0,0,0	14,10,7,4,1	20,10,7,1	33,19,14,6,2	purged_region\pop_profile.jsonl
8	6	30	175	1257	4798	1	1,21,82,62,9,0,0,0,0	9,8,7,5,3,2	6,3,3,2,2	13,11,9,7,6,4	purged_region\pop_profile.jsonl
6	5	34	164	180	463	1	1,27,90,46,0,0,0	15,10,7,4,1	16,10,7,4,1	30,17,15,7,6	purged_region\pop_profile.jsonl
6	5	38	174	97	251	1	1,31,97,45,0,0,0	12,9,6,5,2	13,8,4,3	24,14,11,8,5	purged_region\pop_profile.jsonl
7	6	17	28	50	547	1	1,9,15,3,0,0,0,0	14,6,4,4,2,1	9,5,4,4,1,1	22,10,8,7,5,3	purged_region\pop_profile.jsonl
5	6	23	58	99	355	1	1,17,33,7,0,0	9,7,4,3,3,2	8,5,1,1,1	14,10,7,5,4,4	purged_region\pop_profile.jsonl
5	6	24	40	63	353	1	1,18,21,0,0,0	21,14,11,7,4,1	13,10,5	33,21,14,7,6,5	purged_region\pop_profile.jsonl
5	5	11	6	0	1	1	1,5,0,0,0,0	7,4,2,2,1	9,6,3,1	13,11,5,4,2	purged_region\pop_profile.jsonl
6	5	118	2380	83	100	1	1,111,861,1131,270,6,0	13,10,7,4,1	22,11,7,2	33,16,15,9,4	purged_region\pop_profile.jsonl
