d	r	c	M	minR_num	minR_den	argk	hstar
8	6	33	250	780	2653	1	1,24,99,100,25,1,0,0,0
7	6	9	2	0	1	1	1,1,0,0,0,0,0,0
6	5	40	380	69	127	1	1,33,156,156,33,1,0
6	5	370	14182	10617	11194	1	1,363,4125,7235,2367,91,0
6	5	412	25702	8803	9067	1	1,405,5863,13169,5880,384,0
5	6	20	39	60	313	1	1,14,20,4,0,0
6	5	18	12	0	1	1	1,11,0,0,0,0,0
3	5	21	37	18	47	1	1,17,18,1
5	5	26	100	33	85	1	1,20,54,24,1,0
7	6	32	366	277	637	1	1,24,122,160,55,4,0,0
3	5	15	19	7	33	1	1,11,7,0
6	5	152	4096	403	457	1	1,145,1311,2015,602,22,0
7	6	96	971	1006	1577	1	1,88,503,379,0,0,0,0
3	5	15	17	5	33	1	1,11,5,0
6	5	29	116	134	393	1	1,22,67,26,0,0,0
5	5	46	186	333	685	1	1,40,111,34,0,0
4	5	12	13	5	46	1	1,7,5,0,0
5	5	44	186	109	223	1	1,38,109,38,0,0
8	6	35	324	1971	5713	1	1,26,125,140,32,0,0,0,0
4	6	9	8	3	37	1	1,4,3,0,0
5	5	28	68	117	413	1	1,22,39,6,0,0
6	5	121	2690	2193	2603	1	1,114,924,1296,345,10,0
6	5	68	494	544	917	1	1,61,272,160,0,0,0
5	5	29	94	162	445	1	1,23,54,16,0,0
6	5	13	22	4	35	1	1,6,12,3,0,0,0
6	6	49	306	338	661	1	1,42,169,94,0,0,0
6	5	96	1612	1397	1784	1	1,89,619,741,159,3,0
7	6	44	504	299	591	1	1,36,194,221,51,1,0,0
7	6	36	181	196	597	1	1,28,98,54,0,0,0,0
6	5	50	308	340	671	1	1,43,170,94,0,0,0
6	5	112	2328	84	101	1	1,105,830,1114,272,6,0
6	5	96	904	479	686	1	1,89,479,335,0,0,0
7	6	18	31	170	1701	1	1,10,17,3,0,0,0,0
6	5	15	26	14	115	1	1,8,14,3,0,0,0
7	6	15	24	10	117	1	1,7,13,3,0,0,0,0
6	5	239	8832	6584	7075	1	1,232,2530,4482,1524,63,0
6	5	20	52	8	41	1	1,13,28,10,0,0,0
5	5	35	148	36	79	1	1,29,83,34,1,0
6	5	26	64	37	172	1	1,19,37,7,0,0,0
4	6	10	11	1	8	1	1,5,5,0,0
5	5	22	59	96	349	1	1,16,32,10,0,0
7	6	16	18	30	523	1	1,8,9,0,0,0,0,0
6	5	126	2568	1077	1285	1	1,119,933,1221,288,6,0
6	5	248	8300	6329	6837	1	1,241,2502,4182,1325,49,0
9	6	120	8660	63765	78959	1	1,110,1425,3941,2778,405,0,0,0,0
3	5	24	44	22	53	1	1,20,22,1
6	5	86	894	457	647	1	1,79,457,357,0,0,0
4	5	105	620	47	59	1	1,100,370,147,2
8	6	93	9642	14227	16533	1	1,84,1164,3849,3598,906,40,0,0
6	5	49	248	35	79	1	1,42,140,65,0,0,0
5	5	14	21	10	79	1	1,8,10,2,0,0
7	6	30	248	1091	2825	1	1,22,104,104,17,0,0,0
6	5	160	4208	416	473	1	1,153,1359,2063,610,22,0
6	5	204	7260	5449	5895	1	1,197,2128,3704,1193,37,0
5	6	21	50	81	331	1	1,15,27,7,0,0
5	5	21	64	108	341	1	1,15,36,12,0,0
3	5	22	38	18	49	1	1,18,18,1
5	5	82	624	1035	1453	1	1,76,335,202,10,0
4	6	12	16	7	47	1	1,7,7,1,0
6	5	206	7266	5445	5911	1	1,199,2098,3664,1249,55,0
5	5	32	109	62	163	1	1,26,62,20,0,0
6	5	45	236	33	74	1	1,38,132,65,0,0,0
6	5	39	378	343	625	1	1,32,155,156,33,1,0
7	6	18	54	280	1749	1	1,10,28,15,0,0,0,0
4	5	41	104	3	7	1	1,36,60,7,0
6	5	167	4736	3703	4149	1	1,160,1512,2366,679,18,0
5	5	23	38	60	341	1	1,17,20,0,0,0
6	5	46	284	312	625	1	1,39,156,88,0,0,0
6	6	11	8	6	187	1	1,4,3,0,0,0,0
7	6	24	60	330	2089	1	1,16,33,10,0,0,0,0
6	5	372	20172	743	771	1	1,365,4914,10354,4289,249,0
6	5	152	4260	3336	3757	1	1,145,1366,2128,604,16,0
7	6	20	48	250	1849	1	1,12,25,10,0,0,0,0
5	5	14	17	24	233	1	1,8,8,0,0,0
4	5	31	83	47	112	1	1,26,47,9,0
6	6	12	16	1	11	1	1,5,9,1,0,0,0
