g6	n	m	Q	bip	dist	phi	tf	mtf
NFx_ww[?wF?[wBwF[B_	15	43	15	8	2	000111222333444	1	0
NFx_ww[?wF?[wFwB[B_	15	43	15	8	2	000111222333444	1	0
NFx_ww[?wF?[wFwF[@_	15	43	15	8	2	000111222333444	1	0
NFx_ww[?wF?[wDwF[B_	15	43	15	8	2	000111222333444	1	0
NFx_ww[?wF?[wFwD[B_	15	43	15	8	2	000111222333444	1	0
NFx_ww[?wF?[wFwF[A_	15	43	15	8	2	000111222333444	1	0
NFx_ww[?wF?[wEwF[B_	15	43	15	8	2	000111222333444	1	0
NFx_ww[?wF?[wFwE[B_	15	43	15	8	2	000111222333444	1	0
NFx_ww[?wF?[wFwF[B?	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wF?[WFWF[B_	15	43	15	7	2	000111222333444	1	0
NFz_ww[?wF?[WFwFKB_	15	43	15	7	2	000111222333444	1	0
NDz_ww[?wF?[WFwF[B_	15	43	15	7	2	333444000111222	1	0
NFj_ww[?wF?[WFwF[B_	15	43	15	7	2	333444000111222	1	0
NFy_ww[?wF?[WFwF[B_	15	43	15	7	2	333444000111222	1	0
NFz_ww[?wF?[GFwF[B_	15	43	15	7	2	000111222333444	1	0
NFz_ww[?wF?[WFgF[B_	15	43	15	7	2	000111222333444	1	0
NFz_ww[?wF?[WFwFSB_	15	43	15	7	2	000111222333444	1	0
NEz_ww[?wF?[WFwF[B_	15	43	15	7	2	333444000111222	1	0
NFr_ww[?wF?[WFwF[B_	15	43	15	7	2	333444000111222	1	0
NFz?ww[?wF?[WFwF[B_	15	43	15	7	2	333444000111222	1	0
NFz_ww[?wF?[OFwF[B_	15	43	15	7	2	000111222333444	1	0
NFz_ww[?wF?[WFoF[B_	15	43	15	7	2	000111222333444	1	0
NFz_ww[?wF?[WFwFWB_	15	43	15	7	2	000111222333444	1	0
NFz_Ww[?wF?[WFwF[B_	15	43	15	8	2	333444000111222	1	0
NFz_wW[?wF?[WFwF[B_	15	43	15	8	2	333444000111222	1	0
NFz_wwK?wF?[WFwF[B_	15	43	15	8	2	333444000111222	1	0
NFz_gw[?wF?[WFwF[B_	15	43	15	8	2	333444000111222	1	0
NFz_wg[?wF?[WFwF[B_	15	43	15	8	2	333444000111222	1	0
NFz_wwS?wF?[WFwF[B_	15	43	15	8	2	333444000111222	1	0
NFz_ow[?wF?[WFwF[B_	15	43	15	8	2	333444000111222	1	0
NFz_wo[?wF?[WFwF[B_	15	43	15	8	2	333444000111222	1	0
NFz_wwW?wF?[WFwF[B_	15	43	15	8	2	333444000111222	1	0
NFz_ww[?WF?[WFwF[B_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wB?[WFwF[B_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wF?KWFwF[B_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?gF?[WFwF[B_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wD?[WFwF[B_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wF?SWFwF[B_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?oF?[WFwF[B_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wE?[WFwF[B_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wF?WWFwF[B_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wF?[WBwF[B_	15	43	15	8	2	222111000444333	1	0
NFz_ww[?wF?[WFwB[B_	15	43	15	7	2	222111000444333	1	0
NFz_ww[?wF?[WFwF[@_	15	43	15	7	2	222111000444333	1	0
NFz_ww[?wF?[WDwF[B_	15	43	15	8	2	222111000444333	1	0
NFz_ww[?wF?[WFwD[B_	15	43	15	7	2	222111000444333	1	0
NFz_ww[?wF?[WFwF[A_	15	43	15	7	2	222111000444333	1	0
