N????A?WCwk\F{~o^w?	15	37	4
N????A?WCwraF{Wz^w?	15	35	5
N????A?WC}b}~o~oN{?	15	41	3
N????A?WC}ryF{^w^w?	15	40	3
N????A?WF?KC~oF}Ry_	15	33	4
N????A?WF?MCbtF}^w?	15	33	5
N????A?WF?NC`tF}^w?	15	33	5
N????A?WF?RAXxF}^w?	15	33	5
N????A?WF?RyF}F}N{?	15	37	3
N????A?WF?RyF}^wN{?	15	37	4
N????A?WF?RyF}~oN{?	15	37	4
N????A?WF?RyfsF}N{?	15	36	4
N????A?WF_RyB}B}N{?	15	36	4
N????A?WF_RyB}F{N{?	15	36	4
N????A?WF_RyB}^wN{?	15	37	4
N????A?WF_RyB}~oN{?	15	37	4
N????A?WF_RyfsB}N{?	15	36	4
N????A?WF_]?fsB~N{?	15	34	5
N????A?WFo^?@~fsN{?	15	35	5
N????A?[B_Pb[xB}^w?	15	34	5
N????A?[B_PzB}~oN{?	15	37	5
