g6	n	m	Q	bip	dist	phi	tf	mtf
H?BDbpw	9	13	9	0	4	311142200	1	0
H?BDbrw	9	14	9	0	3	441113000	1	0
H?BDfrw	9	15	9	0	2	441113000	1	0
H?BD`zo	9	13	9	1	3	441113020	1	0
H?BD`xw	9	13	9	1	3	331114202	1	0
H?BD`zw	9	14	9	1	2	441113020	1	0
H?BFfbw	9	15	9	0	2	111130002	1	0
H?BFfRw	9	15	9	0	2	441113000	1	0
H?BFfrw	9	16	9	0	1	441113000	1	0
H?B@vB_	9	11	9	0	3	000331411	1	0
H?B@vBO	9	11	9	0	4	003331411	1	0
H?B@vBo	9	12	9	0	4	111330200	1	0
H?B@vBW	9	12	9	0	4	114442300	1	0
H?B@vAw	9	12	9	0	4	131442020	1	0
H?B@vBw	9	13	9	0	3	114442300	1	0
H?B@v?[	9	11	9	1	4	111330204	1	0
H?B@v?{	9	12	9	1	3	003331242	1	0
H?B@tao	9	11	9	0	4	030033111	1	0
H?B@tbo	9	12	9	0	4	114422300	1	0
H?B@tbg	9	12	9	0	4	114442300	1	0
H?B@taw	9	12	9	0	4	131113000	1	0
H?B@t`w	9	12	9	0	4	441113200	1	0
H?B@tbw	9	13	9	0	3	114442300	1	0
H?B@t_{	9	12	9	1	3	331114020	1	0
H?B@vbo	9	13	9	0	3	114422300	1	0
H?B@vbg	9	13	9	0	3	114442300	1	0
H?B@vaw	9	13	9	0	3	114442300	1	0
H?B@vbw	9	14	9	0	2	441113200	1	0
H?B@pro	9	12	9	0	3	331114002	1	0
H?B@pow	9	11	9	0	2	330003111	1	0
H?B@pqw	9	12	9	0	3	331113000	1	0
H?B@prw	9	13	9	0	2	331114002	1	0
H?B@po{	9	12	9	0	2	331114000	1	0
H?B@prB	9	12	9	0	2	331114004	1	0
H?B@tqw	9	13	9	0	3	131113000	1	0
H?B@tpw	9	13	9	0	3	441113200	1	0
H?B@trw	9	14	9	0	2	114442300	1	0
H?B@vrw	9	15	9	0	1	441113200	1	0
H?B@pzo	9	13	9	1	2	331114002	1	0
H?B@pyw	9	13	9	1	2	331114002	1	0
H?B@pzw	9	14	9	1	1	331114002	1	0
